"","Label","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"1","positive",0.00169773163799161,0.024483296036887,-0.000230976143070678,-0.00278538225607678,-0.0019081042839096,-0.00139754905026955,-0.00148838769345906,-0.00270277514781995,-0.00681243210193685,-0.00296618512620522,0.00213336777835785,0.00033220862531205,0.00289335124386628,0.00293346810727941,-0.00593514076953736,0.000674566870901248,0.000375789335424401,-0.00249760281430413,0.00236432693734859,0.00370030950328367,0.000651347670427352,-0.000278830680109195,-0.00298492806294456,0.000370282844988606,-0.00100052376543238,0.00563296421487201,0.00589266787134545,-0.00210486166528085,0.00470903746127228,-0.00219654490268676,-0.00156685339219915,0.00139346043316428,-0.00499152572347845,0.00101408549059557,0.00267140854739819,0.00165733558934677,-0.00319765472188666,-0.0018069289350892,0.00018215286322902,-0.000872083875239901,-0.0054827304345816,-0.000741275233121024,-0.000964314106097457,0.000567515731762537,-0.00448607829084354,0.00183253398089445,-0.00428230101810843,-0.000513766128444693,0.00108548390077428,0.00156270206363245
"2","positive",0.00208216691904681,0.0303901017291183,-0.00291508250273168,-0.00365226462556916,-0.00309684198946786,-0.00209073360036603,-0.00459633150258964,0.0018566203467884,-0.000132112026390052,0.000924441213047908,-0.000787494948558138,0.000266150002716188,-0.0021696370043883,-0.00126606685799379,0.00211297895746252,-0.00647879501161953,0.00128231740037695,-0.00464397944397278,0.000424029647547831,0.00366752553477558,-0.00024757291520339,0.0026924939226833,0.000665391247845714,0.00152479735052263,-0.0030226657757745,-0.00295686443918243,0.00202998537860189,-0.00558746779291098,0.00266239950507268,-0.00219011299633275,-0.00541430131080699,0.000396931601011287,-8.79160863610477e-05,-0.00342602971275901,0.00479736673334989,-0.0059825423149038,-0.00653494300231076,0.00492054465390934,0.00275785082581673,0.00347063677868431,0.00291446839744176,0.00544011008151062,-0.0039587194103061,0.00695758771199782,0.00298247635479926,-0.000142117131870877,0.000838879041636138,0.000120728283493702,0.00267821633460184,-0.000432616757505396
"3","positive",0.00206311514894473,0.0292018386016279,-0.00475149342812172,-0.00135496895395623,-0.00269767926557044,-0.00144313098438744,-0.00468602062139198,-0.00199741649462605,0.00244017468290637,-0.00441189005522026,0.00122563310981732,0.00149708553933045,-0.003822527792452,-0.00126471656276208,0.00200018595050023,-0.00298587766778108,-0.00188138438924988,-0.00341257958222454,0.00330656869549032,0.00397116890970088,0.000108891569892571,0.00472762470295466,-0.00146150107206814,0.00317604498904188,-0.000968859200169223,-0.00490295679768605,0.00323711397321382,-0.00373288916176501,-0.000639534154359341,-0.00290259729156404,0.00663908221004817,-0.00182540851253396,-0.00396166238715969,-0.00141593551113333,0.0042406764331151,0.00108932033667642,-0.00533986068995328,-0.00238168196524882,0.00412091331828291,-0.000590705296589817,-0.00208462209558949,-0.000899012601509656,-0.0041530325204133,-0.00165475299898237,-0.000359229500629835,0.00758482993927367,-0.00205188235268505,0.00723394529912594,-0.00217127235059563,0.00213631472204209
"4","negative",0.00258142490703394,0.0354115473503915,-0.00548245001867392,-0.00301721320146701,-0.00156590749578988,-0.00284256344991765,-0.00404000628744733,-0.00286199756520194,0.00424604311681253,-0.00343865368998422,0.00169718049626279,0.00279117165043224,0.00260284336461317,0.000620806997807245,-0.00963791965378389,-0.00488205282349775,0.00482726833826104,-0.00339284953419506,0.00383807255692588,0.00577037689792773,-0.00193766747151411,-0.00496941361631708,-0.00346970132813559,0.00300997350111721,0.0067581726356781,0.00226052756503816,0.0067987759486042,-0.00419890456206999,0.000518289696811151,0.00388887748040057,-0.00622576813510883,0.00765802243357622,-0.010479241639416,-0.00124962770985384,0.00556182423999495,0.00579399960081124,-0.00922638562731765,-0.00820791075237834,0.0069905929295056,-0.00126473733490548,-0.0036276448073265,0.00105251927611972,-0.00682269965164644,-0.00624691747856393,0.00114102185754812,0.00980036293578695,-0.00468729738462498,0.000198604622016517,-0.00219736561366167,-0.000554812621700713
"5","positive",0.00194101368193552,0.0280977869559872,-0.00235562226191681,-0.00344936390402913,-0.00171632861134609,-0.000521185259475974,-0.00368008084608785,-0.00202330343607282,0.00236396120810556,-0.00324639686189913,-0.00242957204031706,0.00223860647253174,0.000971530202224786,0.000108994589200494,-0.000192324070209184,-0.00370812227355319,-0.00242455980775177,0.00305134627402546,-1.00592076756527e-05,0.00433726257683296,-0.0038615306014086,0.000373285262856566,-0.00271001141985126,-0.00133177737210947,0.000241472809114988,0.000531129312949902,0.00541314906394825,-0.00252769594012882,0.00257971481769669,-0.000627660059837419,-0.00395996192907841,0.0030479294475061,-0.000103897672670548,-0.00552218665262316,0.004994605627763,-0.00014042764222068,-0.00127309292375961,-0.00116663459406052,0.00277895109532733,0.00085367059707544,-0.000242170055766122,0.000814065611418041,0.00132854199949695,0.000373620392692801,-0.000547587483510706,0.00664786575189879,-0.00380272842627709,-0.0025188629256652,0.00123697095556521,-0.00292963393221596
"6","positive",0.00208223465406197,0.0287715063239177,-0.00466164246380304,-0.00119123108165567,-0.00199511986277062,-0.00342386876884326,-0.00263198993918482,0.00120887450252994,0.00173707589405207,-0.00022939502499155,-0.000865342456420562,0.000271827373047206,0.000503228265188408,-0.00357057188488228,0.00526083304967406,-0.00412729724022877,0.00422080791139864,-0.00353293985449192,-0.00150900401879194,0.000131174474212314,0.000317203884656549,-4.85660274695448e-05,-0.00379144704646067,0.00358343404530081,-0.000779078778745233,-0.00248186954188125,0.00851793694050335,0.00260346563990748,-0.000859394702685353,0.00134008799759371,-0.00148375600211026,0.000327868175967207,-0.00831080532560898,-0.00102534934904613,-0.00478750944377775,-0.00463840702733461,0.00401593621645946,0.00550965693075574,0.00141577694131162,-0.00701117803752427,0.00240107480591607,-0.00306180771954807,-0.00274387763628206,0.00844868643091873,-0.000832150245684653,0.0115073302096245,-0.00011660099831815,0.0136063466323944,-0.000487094076330411,-0.00318643352272463
"7","positive",0.00184471082931727,0.0272723597951361,-0.0046031815783959,-0.00376701624464152,-0.00138189161242842,-0.000551351596498798,-0.00461120619498047,-0.000653462755762538,0.00281417419366062,-0.00405138745582512,0.00367654786965113,-0.00335279075509071,-0.00858887259542542,-0.00500530344034944,0.00391992778200776,0.00654709572418553,-0.000576223150319786,0.00332732537204279,0.000686111101390496,0.0063541094896809,-0.0011980602086647,0.00345170164829893,-0.000207824312318235,0.00325858926473486,0.00378653171973619,-0.00116890207158837,0.00833728220270313,-0.00199873017214627,0.00543962036684513,-0.0028961230495123,-0.00278313094013831,-0.00308973852740708,-0.000595349422995178,0.00925712654825503,0.000684493683564414,0.00528101348433574,-0.00452196210037652,-0.00657508841444129,0.00159749688454122,0.00662556476093822,-0.00860676687078607,-0.00229650086183272,0.00353845940044939,0.000990519891903437,-0.000472244987541881,-0.00303610873243932,0.000485394931623738,0.00828094797540418,0.00614286469098975,0.00514082657961303
"8","negative",0.0035011646433734,0.0354763981779439,-0.00382964391566742,-0.00430582233700437,-0.0015850123726266,-0.00340356432692354,-0.00471487205951562,-0.00106137794465916,0.00291122258815925,-0.00519396223405712,0.00174807281658028,0.00166647366936268,-0.00136554949249024,-0.000464421098346342,-0.00762870606628311,0.0017482950337034,0.000901764523577308,-0.00621643967466651,0.00182225939667719,0.00448164596946702,0.00256290656433254,0.00796288043016433,-0.00307803247548042,0.00176901527274065,-0.00203068670943737,-0.00347516485548072,0.00483605706492348,0.00336541628919684,0.00194682640394191,-0.00166826951881829,0.00117248216107857,0.00300344616221198,-0.00164840216061404,-0.00532182428005794,0.0043394649883727,-0.000859040802653296,-0.00453928202265833,-0.00174408729810108,0.00380434954170448,0.00358730761787442,2.96162355468682e-05,-0.000470688541721437,0.00425491290370145,0.000850917168498443,0.00117163692517664,0.0071707739404397,-0.00371472841717837,0.00430745924429558,-0.00663659131592514,-0.0024539604804561
"9","negative",0.00323421031157988,0.0372317966328483,-0.00553684131048043,-0.00449711403776404,-0.00348228242166129,-0.00286410493167931,-0.00567844692417844,-0.00197551951813264,-0.00309093597273147,-0.000416313003209526,0.00406583662967447,0.0052942000097568,-0.0106249872673418,-0.00100865809685893,0.00333622501185763,0.0064633178482737,0.003660775604412,-0.00205562149355612,0.00131578777505158,0.00322971503551849,0.00170421610598493,-0.00111167590998192,0.0163788989065677,-0.00095841071141629,-0.00246785308793031,0.00484195388485348,0.00685788599426041,0.0036209256437834,0.0038432415277739,0.00252849508796022,-0.0049883856771361,-0.00972450063503832,0.00494575134309547,0.00369613531120069,0.00239971042263477,-0.00417614614464614,-0.00561839375217576,0.016345209044954,0.00240415883979574,0.0028016181672365,0.0082849791978662,0.00123061808566809,0.00734323722473607,0.000933989921527696,0.00504817745387302,0.00543035617692724,-0.000191316412671149,0.000863047204647404,0.00380128660609005,-0.00902993502509658
"10","positive",0.00403629942739876,0.0596204156635958,-0.0115092387153797,-0.00819354009909848,-0.0058883583651036,-0.00381050189705569,-0.0135219989782825,-0.00958585833401139,0.0150714757343787,-0.0151801044103944,-0.00306795109599699,0.0444292315410488,0.0302691853552794,-0.00563108224266898,-0.0381325663462683,-0.0370915222080103,-0.0638175459898929,-0.00860321027642746,0.0919056904250491,-0.128541322512511,0.01593001047318,0.00107936815434349,-0.0476512526235346,-0.00195598885269628,0.218210481257981,-0.00600898329647709,-0.0480366298265558,5.18564977493053e-05,-0.805879782140418,-0.447013083016799,-0.0218921482904644,0.0133655323530416,0.0449748131594909,0.0804703293959877,-0.0968105421894624,-0.0762155574029923,0.0560479934424841,0.0234667502103736,-0.0169146304476656,0.00449143929495938,-0.0130081876492697,-0.0142935617625646,0.0210344400902688,-0.0333370091473918,-0.0148176472469515,-0.0295387104221964,-0.0424784501106202,0.010695911210998,0.00411831429605693,0.0249221228906717
